"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.325208344E-3,9.330730923E-1,-5.306324816E-1,-6.083045554E-1
2.129720835E-2,5.161498055E-1,-8.428264350E-1,-1.628154860E0
4.126920833E-2,9.355906110E-1,-5.660502362E-1,-2.025055672E0
6.124120834E-2,8.874661258E-1,-2.568483031E-1,-2.831788414E0
8.121220834E-2,-7.025970474E-2,-5.541113913E-1,-3.205872222E0
1.011842084E-1,1.841052420E0,3.476052761E-1,-3.269004609E0
1.211562083E-1,4.581882571E-1,1.549046710E0,-2.244283574E0
1.411272083E-1,-2.498241891E-1,9.719826579E-1,-1.457908498E0
1.610992083E-1,-2.744794124E-1,3.827762783E-1,-9.020499587E-1
1.810712084E-1,-5.619098228E-1,1.354513353E-1,-8.051908314E-1
2.010432083E-1,-1.227407603E0,6.728809127E-1,-1.144598311E-1
2.210142083E-1,-1.642083366E0,1.249778611E0,2.491527826E-1
2.409862083E-1,-2.019133904E0,1.457347165E0,6.623065156E-1
2.609582084E-1,-2.268076479E0,1.691816420E0,2.797307968E-2
2.809302083E-1,-2.358416692E0,8.681188586E-1,-2.765820712E-1
3.008978750E-1,-1.664440341E0,6.332028767E-1,2.647308760E0
3.208698750E-1,9.875490423E-1,-4.587178686E-1,4.400582925E0
3.408418750E-1,4.507583829E-1,-6.346810529E-1,4.743985223E0
3.608138750E-1,7.338387206E-1,-7.931329957E-1,5.086774147E0
3.807848750E-1,3.233778862E-1,-9.255344233E-1,4.669108118E0
4.007568750E-1,8.624671593E-1,-1.233148545E0,1.419501062E0
4.207288750E-1,6.991773033E-1,-9.521784309E-1,5.736469388E-2
4.406998750E-1,-1.095213751E0,-1.210698161E-1,1.188774610E0
4.606718750E-1,-1.047583648E0,-6.819125220E-1,8.203012061E-1
4.806438750E-1,-5.153878402E-1,-9.168586171E-1,1.037956792E-1
5.006158750E-1,3.747389514E-1,-2.412878390E0,-9.136625290E-2
5.205868750E-1,-3.116215110E-1,-9.146027613E-1,-2.740420992E0
5.405588750E-1,1.667711785E-1,-2.753378422E0,-4.305622973E0
5.605308750E-1,-2.290596738E0,1.764879718E0,-1.584669701E0
5.805028750E-1,1.912464903E0,8.817361468E-1,-8.447033912E-1
6.004738750E-1,1.265209706E0,-1.149977165E0,-1.370287387E0
