"Time (s)","latitude","longitude","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"

3.372216821E0,6.500709732E1,2.558238714E1,1.958288574E1,1.379999995E0,5.273437500E1,3.861823237E0,8.000000000E0
4.372216105E0,6.500709195E1,2.558242662E1,2.076904297E1,1.809999943E0,5.906250000E1,3.535533906E0,6.000000000E0
5.372214913E0,6.500708881E1,2.558246794E1,1.996557617E1,1.929999948E0,6.046875000E1,3.535533906E0,4.000000000E0
6.372380376E0,6.500708650E1,2.558250910E1,2.148925781E1,1.929999948E0,6.503906250E1,3.535533906E0,3.000000000E0
7.372385621E0,6.500708374E1,2.558254623E1,2.092761230E1,1.750000000E0,6.574218750E1,3.535533906E0,3.000000000E0
8.372375369E0,6.500708261E1,2.558258101E1,2.127203369E1,1.620000005E0,6.539062500E1,3.535533906E0,3.000000000E0
9.372368693E0,6.500708261E1,2.558261580E1,2.127124023E1,1.649999976E0,6.679687500E1,3.535533906E0,3.000000000E0
1.037235737E1,6.500708286E1,2.558264975E1,2.095019531E1,1.649999976E0,6.925781250E1,3.535533906E0,3.000000000E0
1.137234604E1,6.500708344E1,2.558268445E1,2.061047363E1,1.620000005E0,7.207031250E1,3.535533906E0,3.000000000E0
1.237234306E1,6.500708512E1,2.558271965E1,2.026000977E1,1.620000005E0,7.171875000E1,3.535533906E0,3.000000000E0
1.337233067E1,6.500708968E1,2.558275227E1,2.060636357E1,1.620000005E0,7.171877956E1,4.660102627E0,3.479652359E0
1.437231517E1,6.500709291E1,2.558278877E1,2.040802222E1,1.690000057E0,6.996096801E1,4.660102637E0,3.479652345E0
1.537230563E1,6.500709580E1,2.558282538E1,2.027565795E1,1.720000029E0,7.101565626E1,4.660102648E0,3.479652331E0
1.637229097E1,6.500709763E1,2.558285987E1,2.021244842E1,1.720000029E0,7.382815675E1,4.660102654E0,3.479652322E0
1.737227261E1,6.500709774E1,2.558288993E1,2.059801891E1,1.559999943E0,7.910159194E1,4.660102654E0,3.479652322E0
1.837225604E1,6.500709811E1,2.558292529E1,1.987337138E1,1.559999943E0,8.156252965E1,4.660102652E0,3.479652325E0
1.937224269E1,6.500709944E1,2.558296231E1,1.960795049E1,1.639999986E0,8.121096865E1,4.660102653E0,3.479652324E0
2.037222612E1,6.500710189E1,2.558299699E1,1.948461942E1,1.639999986E0,7.945315598E1,4.660102660E0,3.479652315E0
2.137221026E1,6.500710476E1,2.558303132E1,1.964748411E1,1.639999986E0,7.839846837E1,4.660102669E0,3.479652302E0
2.237219560E1,6.500710627E1,2.558306624E1,1.959335546E1,1.639999986E0,8.121096865E1,4.660102674E0,3.479652296E0
2.337218106E1,6.500710661E1,2.558310452E1,1.937279921E1,1.700000048E0,8.402346999E1,4.660102672E0,3.479652299E0
2.437216735E1,6.500710555E1,2.558314141E1,1.911921913E1,1.720000029E0,8.789065803E1,4.660102663E0,3.479652311E0
2.537215447E1,6.500710517E1,2.558317814E1,1.877671463E1,1.740000010E0,8.824222092E1,4.660102655E0,3.479652321E0
2.637214243E1,6.500710439E1,2.558321310E1,1.874719841E1,1.740000010E0,8.894534593E1,4.660102646E0,3.479652334E0
2.737213147E1,6.500710363E1,2.558324704E1,1.867440444E1,1.700000048E0,8.894534516E1,4.660102636E0,3.479652347E0
2.837212086E1,6.500710136E1,2.558328365E1,1.845665389E1,1.700000048E0,9.210940765E1,4.660102620E0,3.479652368E0
2.937211013E1,6.500709937E1,2.558331907E1,1.820844870E1,1.700000048E0,9.316409512E1,4.660102604E0,3.479652389E0
3.037210107E1,6.500709571E1,2.558335209E1,1.811282186E1,1.649999976E0,9.703128147E1,4.660102581E0,3.479652420E0
3.137209070E1,6.500709291E1,2.558338695E1,1.803142194E1,1.649999976E0,9.703128147E1,4.660102560E0,3.479652448E0
